zone1_id,zone2_id,weight
27,201,6634.986345665693
29,55,2351.840172692261
29,150,1307.485401553248
29,108,2278.0184901168795
29,210,2716.3326310595107
29,123,2341.1558215199184
55,108,1739.2021037372126
117,201,5638.184988855194
150,154,4391.556330075664
150,210,1508.7273312204488
154,210,2882.828998855216
154,155,3246.19924052654
123,210,2586.2962375442075
123,149,1710.1328918972079
123,178,2360.677039175522
123,165,2870.83205198175
21,108,1600.3661431546986
21,22,2038.881484629231
21,123,1537.2288117516598
21,178,2712.6634752424607
21,26,3651.9755604987445
108,123,2508.0768085753652
86,117,3390.0852969752696
11,22,1758.7398360243624
11,67,2159.48272874974
149,210,1980.1042045439146
149,154,4518.488147080997
149,155,3426.4767468369196
149,165,2403.227718337399
14,67,1730.9786300031085
14,227,3702.5024724820737
14,228,4394.3616220111235
2,30,2123.4070673656133
2,132,6566.405078394047
165,178,1367.029594786733
26,178,2828.527333074882
26,67,3058.5782097626993
26,89,2753.6353067296404
26,133,1964.0284880278123
26,227,2360.594543898935
26,111,2470.670627450822
91,155,2359.8056136101613
91,165,2506.3348790519176
91,149,3667.0340391364593
22,67,2149.5725680959217
22,26,2556.514994231749
89,178,2960.1962213230017
89,165,2185.707607805691
89,91,3501.418619087386
89,133,1388.3890655903592
89,257,2965.23028003839
89,190,3208.3652779309577
89,188,3287.125827942088
67,227,3132.4842975593374
71,91,2567.7672270174867
71,89,2355.631525832641
71,85,1179.9448074271702
71,72,2022.572592057389
71,188,2286.4728395715783
39,155,3720.819285323645
39,91,3480.2619930241053
39,72,3204.5643478199977
39,222,2294.750551252212
39,76,4186.9294900185105
227,228,1638.39194839093
85,89,1582.6379182288824
85,188,1704.487909713206
72,91,3465.035865374381
72,76,4202.155617668234
72,188,2511.1876630282836
76,222,1892.1789387662982
76,124,2580.0842134961913
76,77,1951.783234078936
111,227,2171.7864223932093
111,133,2288.742640968069
111,257,1040.1475907770296
111,228,1528.3158648390433
133,257,1576.8412144480308
